WORD,FREQUENCY,TF,ONE_HOT_WORD_IN_DOC,DOC_APPEARANCES,IDF
ALL,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],217,0.7481165440858015
MAXIMUM,[1. 0. 0. ... 3. 0. 0.],[0.00609756 0.         0.         ... 0.01507538 0.         0.        ],[1 0 0 ... 1 0 0],18,1.8293037728310249
ONE,[1. 1. 1. ... 1. 0. 0.],[0.00609756 0.0075188  0.0078125  ... 0.00502513 0.         0.        ],[1 1 1 ... 1 0 0],237,0.7098279319242271
WAS,[1. 3. 1. ... 4. 0. 0.],[0.00609756 0.02255639 0.0078125  ... 0.0201005  0.         0.        ],[1 1 1 ... 1 0 0],630,0.2852357284807493
SIGNIFICANTLY,[1. 0. 0. ... 0. 0. 1.],[0.00609756 0.         0.         ... 0.         0.         0.00900901],[1 0 0 ... 0 0 1],139,0.9415614776802359
CHANGED,[2. 0. 0. ... 0. 0. 0.],[0.01219512 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],6,2.3064250275506875
COMPARED,[1. 0. 0. ... 0. 0. 2.],[0.00609756 0.         0.         ... 0.         0.         0.01801802],[1 0 0 ... 0 0 1],159,0.8831791536138796
WITH,[3. 5. 0. ... 5. 1. 2.],[0.01829268 0.03759398 0.         ... 0.02512563 0.00724638 0.01801802],[1 1 0 ... 1 1 1],1013,0.07896683257405053
MATCHED,[1. 0. 0. ... 0. 0. 1.],[0.00609756 0.         0.         ... 0.         0.         0.00900901],[1 0 0 ... 0 0 1],17,1.854127356556057
CONTROL,[1. 0. 0. ... 0. 0. 1.],[0.00609756 0.         0.         ... 0.         0.         0.00900901],[1 0 0 ... 0 0 1],206,0.7707090575651776
PERSONS,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],20,1.7835462822703498
NOTABLY,[2. 0. 0. ... 0. 0. 0.],[0.01219512 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],4,2.482516286606369
IGG,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],39,1.4935116709078318
IGA,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],21,1.7623569832004118
ELEVATED,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],72,1.2272437815030626
ACUTE,[2. 0. 0. ... 0. 0. 0.],[0.01219512 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],40,1.4825162866063686
PHASE,[2. 0. 0. ... 1. 0. 0.],[0.01219512 0.         0.         ... 0.00502513 0.         0.        ],[1 0 0 ... 1 0 0],26,1.6696029299635131
LATTER,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],25,1.6866362692622934
SUGGESTING,[2. 0. 0. ... 1. 0. 0.],[0.01219512 0.         0.         ... 0.00502513 0.         0.        ],[1 0 0 ... 1 0 0],23,1.722848441916738
ACTIVE,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],36,1.5282737771670438
TISSUE,[3. 0. 0. ... 0. 0. 0.],[0.01829268 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],48,1.4033350405587437
DAMAGE,[2. 0. 0. ... 0. 0. 0.],[0.01219512 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],23,1.722848441916738
HAPTOGLOBIN,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],3,2.6074550232146687
CORRELATED,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],43,1.4511078223547444
TO,[1. 3. 1. ... 2. 3. 4.],[0.00609756 0.02255639 0.0078125  ... 0.01005025 0.02173913 0.03603604],[1 1 1 ... 1 1 1],1021,0.07555053584742077
THAT,[1. 0. 0. ... 1. 4. 0.],[0.00609756 0.         0.         ... 0.00502513 0.02898551 0.        ],[1 0 0 ... 1 1 0],680,0.2520673652280947
MANY,[2. 0. 0. ... 0. 0. 0.],[0.01219512 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],82,1.1707624255506142
IS,[1. 0. 1. ... 0. 2. 2.],[0.00609756 0.         0.0078125  ... 0.         0.01449275 0.01801802],[1 0 1 ... 0 1 1],741,0.21475806995500282
ACCOMPANIED,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],14,1.938448242256093
MORE,[1. 0. 0. ... 1. 0. 0.],[0.00609756 0.         0.         ... 0.00502513 0.         0.        ],[1 0 0 ... 1 0 0],224,0.7343282596001682
THAN,[1. 0. 0. ... 2. 1. 1.],[0.00609756 0.         0.         ... 0.01005025 0.00724638 0.00900901],[1 0 0 ... 1 1 1],326,0.5713586778663919
FEW,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],37,1.516374553867336
RESULTS,[1. 0. 0. ... 1. 0. 0.],[0.00609756 0.         0.         ... 0.00502513 0.         0.        ],[1 0 0 ... 1 0 0],209,0.764429991823277
INDICATE,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],50,1.3856062735983121
NO,[1. 0. 0. ... 1. 1. 1.],[0.00609756 0.         0.         ... 0.00502513 0.00724638 0.00900901],[1 0 0 ... 1 1 1],309,0.5946177985094963
PROTECTIVE,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],6,2.3064250275506875
VALUE,[1. 0. 0. ... 0. 0. 0.],[0.00609756 0.         0.         ... 0.         0.         0.        ],[1 0 0 ... 0 0 0],54,1.3521825181113625
ON,[1. 0. 1. ... 1. 0. 1.],[0.00609756 0.         0.0078125  ... 0.00502513 0.         0.00900901],[1 0 1 ... 1 0 1],407,0.47498186870911097
SALIVARY,[0. 3. 0. ... 0. 0. 0.],[0.         0.02255639 0.         ... 0.         0.         0.        ],[0 1 0 ... 0 0 0],34,1.553097360892076
AMYLASE,[0. 5. 0. ... 0. 0. 0.],[0.         0.03759398 0.         ... 0.         0.         0.        ],[0 1 0 ... 0 0 0],26,1.6696029299635131
LEVELS,[0. 4. 0. ... 0. 0. 3.],[0.         0.03007519 0.         ... 0.         0.         0.02702703],[0 1 0 ... 0 0 1],159,0.8831791536138796
DETERMINED,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],64,1.2783963039504438
NORMAL,[0. 4. 1. ... 4. 0. 0.],[0.         0.03007519 0.0078125  ... 0.0201005  0.         0.        ],[0 1 1 ... 1 0 0],376,0.5093884330066699
SUBJECTS,[0. 2. 0. ... 2. 1. 0.],[0.         0.01503759 0.         ... 0.01005025 0.00724638 0.        ],[0 1 0 ... 1 1 0],137,0.9478557107779242
FROM,[0. 2. 2. ... 1. 0. 0.],[0.         0.01503759 0.015625   ... 0.00502513 0.         0.        ],[0 1 1 ... 1 0 0],560,0.33638825092813057
BIRTH,[0. 2. 0. ... 0. 0. 0.],[0.         0.01503759 0.         ... 0.         0.         0.        ],[0 1 0 ... 0 0 0],40,1.4825162866063686
UNTIL,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],20,1.7835462822703498
ADULT,[0. 2. 0. ... 0. 0. 0.],[0.         0.01503759 0.         ... 0.         0.         0.        ],[0 1 0 ... 0 0 0],50,1.3856062735983121
LIFE,[0. 1. 1. ... 0. 0. 0.],[0.        0.0075188 0.0078125 ... 0.        0.        0.       ],[0 1 1 ... 0 0 0],42,1.4613269875364305
CHILDREN,[0. 4. 2. ... 4. 0. 1.],[0.         0.03007519 0.015625   ... 0.0201005  0.         0.00900901],[0 1 1 ... 1 0 1],316,0.5848891953159272
CONDITIONS,[0. 2. 0. ... 0. 0. 0.],[0.         0.01503759 0.         ... 0.         0.         0.        ],[0 1 0 ... 0 0 0],83,1.1654981855582571
SOMETIMES,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],9,2.130333768495006
ASSOCIATED,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],109,1.0471497799937073
LOW,[0. 3. 0. ... 0. 0. 0.],[0.         0.02255639 0.         ... 0.         0.         0.        ],[0 1 0 ... 0 0 0],90,1.130333768495006
PANCREATIC,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],147,0.9172589431861549
SUCH,[0. 1. 0. ... 0. 1. 0.],[0.         0.0075188  0.         ... 0.         0.00724638 0.        ],[0 1 0 ... 0 1 0],128,0.9773663082864626
AS,[0. 2. 1. ... 2. 0. 0.],[0.         0.01503759 0.0078125  ... 0.01005025 0.         0.        ],[0 1 1 ... 1 0 0],476,0.4069693252138378
MALNUTRITION,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],19,1.805822676981502
COELIAC,[0. 2. 0. ... 0. 0. 0.],[0.         0.01503759 0.         ... 0.         0.         0.        ],[0 1 0 ... 0 0 0],11,2.043183592776106
DISEASE,[0. 2. 0. ... 3. 1. 0.],[0.         0.01503759 0.         ... 0.01507538 0.00724638 0.        ],[0 1 0 ... 1 1 0],379,0.5059370679662587
MIXED,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],15,1.9084850188786497
SALIVA,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],43,1.4511078223547444
COLLECTED,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],18,1.8293037728310249
UNDER,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],49,1.3943801979058172
CAREFULLY,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],9,2.130333768495006
STANDARDISED,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],1,3.084576277934331
MEASURED,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],92,1.1207884505887757
METHOD,[0. 1. 2. ... 0. 0. 0.],[0.        0.0075188 0.015625  ... 0.        0.        0.       ],[0 1 1 ... 0 0 0],99,1.0889410833367812
DAHLQVIST,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],1,3.084576277934331
THERE,[0. 1. 1. ... 1. 0. 1.],[0.         0.0075188  0.0078125  ... 0.00502513 0.         0.00900901],[0 1 1 ... 1 0 1],218,0.7461197843297261
WIDE,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],22,1.7421535971121247
SCATTER,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],2,2.7835462822703496
VALUES,[0. 1. 1. ... 0. 0. 0.],[0.        0.0075188 0.0078125 ... 0.        0.        0.       ],[0 1 1 ... 0 0 0],113,1.0314978344509114
BUT,[0. 1. 0. ... 1. 0. 0.],[0.         0.0075188  0.         ... 0.00502513 0.         0.        ],[0 1 0 ... 1 0 0],264,0.6629723510644999
ROSE,[0. 3. 0. ... 0. 0. 0.],[0.         0.02255639 0.         ... 0.         0.         0.        ],[0 1 0 ... 0 0 0],5,2.385606273598312
VERY,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],72,1.2272437815030626
AT,[0. 1. 0. ... 1. 0. 0.],[0.         0.0075188  0.         ... 0.00502513 0.         0.        ],[0 1 0 ... 1 0 0],308,0.5960255614338867
REACH,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],6,2.3064250275506875
AGE,[0. 1. 2. ... 0. 0. 0.],[0.        0.0075188 0.015625  ... 0.        0.        0.       ],[0 1 1 ... 0 0 0],141,0.9353571652789511
MONTHS,[0. 1. 0. ... 0. 0. 1.],[0.         0.0075188  0.         ... 0.         0.         0.00900901],[0 1 0 ... 0 0 1],49,1.3943801979058172
YEAR,[0. 1. 1. ... 0. 0. 0.],[0.        0.0075188 0.0078125 ... 0.        0.        0.       ],[0 1 1 ... 0 0 0],44,1.4411236014481437
ACTIVITY,[0. 1. 0. ... 0. 2. 0.],[0.         0.0075188  0.         ... 0.         0.01449275 0.        ],[0 1 0 ... 0 1 0],172,0.849047831026782
NORMALLY,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],16,1.8804562952784063
OVER,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],76,1.2037626856535397
TEN,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],22,1.7421535971121247
WEEKS,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],22,1.7421535971121247
PREMATURE,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],10,2.084576277934331
INFANT,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],38,1.5047926813175208
FED,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],4,2.482516286606369
MILK,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],7,2.2394782379200744
GASTROSTOMY,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],1,3.084576277934331
THIRTEEN,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],3,2.6074550232146687
MOSTLY,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],5,2.385606273598312
HAD,[0. 2. 0. ... 0. 0. 0.],[0.         0.01503759 0.         ... 0.         0.         0.        ],[0 1 0 ... 0 0 0],263,0.6646205294445731
SIX,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],54,1.3521825181113625
OUT,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],70,1.2394782379200742
MALNOURISHED,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],4,2.482516286606369
JEJUNAL,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],5,2.385606273598312
VILLOUS,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],4,2.482516286606369
ATROPHY,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],8,2.1814862909423876
UNCERTAIN,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],3,2.6074550232146687
AETIOLOGY,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],6,2.3064250275506875
WHICH,[0. 1. 1. ... 1. 1. 0.],[0.         0.0075188  0.0078125  ... 0.00502513 0.00724638 0.        ],[0 1 1 ... 1 1 0],320,0.579426299614425
RECOVERY,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],15,1.9084850188786497
BEGAN,[0. 1. 0. ... 0. 0. 0.],[0.        0.0075188 0.        ... 0.        0.        0.       ],[0 1 0 ... 0 0 0],5,2.385606273598312
THIS,[0. 0. 2. ... 0. 1. 1.],[0.         0.         0.015625   ... 0.         0.00724638 0.00900901],[0 0 1 ... 0 1 1],580,0.32114828437139364
ARTICLE,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],29,1.6221782800353748
REPORTS,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],38,1.5047926813175208
POSSIBILITY,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],38,1.5047926813175208
INSTRUMENTAL,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],2,2.7835462822703496
NEUTRON,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],3,2.6074550232146687
ACTIVATION,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],21,1.7623569832004118
INAA,[0. 0. 2. ... 0. 0. 0.],[0.       0.       0.015625 ... 0.       0.       0.      ],[0 0 1 ... 0 0 0],2,2.7835462822703496
SODIUM,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],62,1.2921845884360772
NAIL,[0. 0. 3. ... 0. 0. 0.],[0.        0.        0.0234375 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],4,2.482516286606369
CLIPPINGS,[0. 0. 3. ... 0. 0. 0.],[0.        0.        0.0234375 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],3,2.6074550232146687
DIAGNOSING,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],3,2.6074550232146687
CF,[0. 0. 6. ... 3. 5. 0.],[0.         0.         0.046875   ... 0.01507538 0.03623188 0.        ],[0 0 1 ... 1 1 0],365,0.5222834134778562
ADULTS,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],60,1.3064250275506875
DETECTING,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],24,1.704365036222725
HETEROZYGOTES,[0. 0. 3. ... 0. 2. 0.],[0.         0.         0.0234375  ... 0.         0.01449275 0.        ],[0 0 1 ... 0 1 0],100,1.084576277934331
SCREENING,[0. 0. 2. ... 0. 0. 0.],[0.       0.       0.015625 ... 0.       0.       0.      ],[0 0 1 ... 0 0 0],73,1.221253417813875
NEONATAL,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],16,1.8804562952784063
PERIOD,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],67,1.2585014752335044
NEWBORNS,[0. 0. 3. ... 0. 0. 0.],[0.        0.        0.0234375 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],18,1.8293037728310249
TWO,[0. 0. 1. ... 0. 1. 0.],[0.         0.         0.0078125  ... 0.         0.00724638 0.        ],[0 0 1 ... 0 1 0],215,0.7521378180187257
THEM,[0. 0. 1. ... 1. 0. 0.],[0.         0.         0.0078125  ... 0.00502513 0.         0.        ],[0 0 1 ... 1 0 0],31,1.5932145841000582
HEALTHY,[0. 0. 1. ... 0. 0. 0.],[0.        0.        0.0078125 ... 0.        0.        0.       ],[0 0 1 ... 0 0 0],68,1.2520673652280947
