QueryNumber;DocNumber;DocVotes
5;633;2122
5;669;10
5;701;1
5;702;1000
5;710;2212
5;711;2
5;722;1
5;724;2
5;729;1
5;731;2
5;733;2
5;750;100
5;761;1
5;763;1
5;772;100
5;779;1
5;788;1
5;805;2211
5;843;2
5;845;1
5;856;2121
5;857;1000
5;861;1212
5;864;1
5;867;101
5;875;2222
5;876;2
5;888;2
5;889;2
5;895;2210
5;925;1
5;935;1
5;943;1
5;944;1
5;975;2112
5;980;2120
5;982;2
5;990;2
5;1000;2
5;1019;1
5;1038;1
5;1040;1
5;1064;2220
5;1076;1
5;1080;1
5;1088;1
5;1091;1
5;1092;2
5;1093;2
5;1098;1
5;1144;2111
5;1156;1
5;1175;1120
5;1185;1
5;1188;1
5;1196;1000
5;1223;1
5;1226;1
6;25;10
6;31;2222
6;90;1000
6;195;100
6;326;1
6;370;110
6;438;1
6;440;10
6;441;1000
6;503;1220
6;511;10
6;586;1
6;592;1010
6;593;1000
6;722;1
6;731;1
6;734;2
6;805;1000
6;875;1120
6;922;10
6;963;1000
6;975;1010
6;1092;1
6;1093;2
7;45;100
7;53;1
7;166;2
7;171;1
7;256;101
7;370;1
7;371;2122
7;386;1
7;410;100
7;439;101
7;535;1
7;623;2121
7;633;100
7;634;100
7;640;10
7;669;10
7;831;100
7;853;100
7;856;2111
7;857;100
7;921;10
7;1027;100
7;1054;1100
7;1056;100
7;1057;100
7;1059;100
7;1064;1120
7;1161;1
8;23;2112
8;169;1000
8;322;100
8;370;1000
8;386;1000
8;435;1
8;439;1100
8;463;1
8;496;1000
8;497;1
8;498;1000
8;499;1122
8;503;1
8;605;1
8;683;2220
8;710;1000
8;750;10
8;771;1000
8;867;1000
8;875;1
8;944;1
8;1125;2220
9;165;1122
9;174;1
9;362;1
9;370;1
9;414;2222
9;443;100
9;794;2110
9;992;1010
9;1040;1
9;1115;102
10;30;2112
10;126;1001
10;157;2222
10;170;1112
10;296;1212
10;301;1
10;322;1
10;370;1100
10;413;2222
10;443;1120
10;581;2222
10;676;2122
10;715;10
10;722;1
10;728;1101
10;758;1000
10;782;1010
10;835;10
10;878;2122
10;941;1000
10;1115;1222
10;1215;10
10;1218;2122
10;1234;1
10;1239;1101
11;36;1
11;46;1
11;96;2210
11;186;1000
11;301;1000
11;428;1002
11;518;2110
11;649;10
11;652;1
11;659;10
11;772;1010
11;796;2222
11;798;2212
11;799;10
11;835;1000
11;837;1
11;908;1000
11;909;2222
11;991;2222
11;1119;100
11;1178;1000
11;1226;2
12;70;2212
12;181;1
12;443;2120
12;466;2220
12;755;10
12;918;1000
12;1115;1
13;156;2112
13;301;1112
13;314;2222
13;322;1220
13;370;100
13;443;1120
13;462;1010
13;522;100
13;643;1000
13;695;1220
13;715;10
13;719;10
13;722;1
13;763;101
13;764;1
13;791;2211
13;822;1
13;900;100
13;902;1101
13;978;1000
13;1017;10
13;1033;1
13;1097;1
13;1124;2
14;5;1100
14;89;100
14;92;1
14;131;2212
14;135;1
14;150;2222
14;156;1000
14;203;10
14;232;10
14;233;1122
14;234;1121
14;291;1
14;297;1
14;314;1000
14;319;10
14;344;2112
14;345;2210
14;356;1
14;367;2210
14;370;1110
14;379;1
14;405;2112
14;413;1
14;417;1211
14;419;2
14;421;1
14;424;1
14;462;2212
14;465;1102
14;492;1000
14;584;1001
14;602;1011
14;616;2120
14;635;2122
14;662;100
14;695;10
14;719;11
14;777;1012
14;791;2122
14;809;10
14;815;2222
14;852;2222
14;889;1
14;899;2222
14;930;2
14;941;1011
14;1000;1
14;1008;2220
14;1013;11
14;1100;2222
14;1117;2220
14;1124;2122
14;1135;1002
14;1206;1000
14;1234;1001
15;17;1
15;59;2122
15;63;1000
15;72;1
15;91;1
15;95;1
15;97;1
15;98;1
15;99;2112
15;135;1
15;149;1011
15;174;2220
15;197;1001
15;204;2222
15;205;2212
15;226;2
15;232;100
15;238;1
15;266;2222
15;297;1
15;301;2122
15;322;2122
15;339;2212
15;350;1
15;354;1
15;355;2112
15;364;1112
15;370;2111
15;385;2222
15;398;11
15;408;100
15;410;1102
15;413;100
15;414;100
15;420;1
15;422;2222
15;423;2221
15;424;10
15;426;1
15;434;1
15;443;2222
15;474;1120
15;545;1212
15;549;2112
15;550;1
15;601;2122
15;603;11
15;611;1
15;642;1010
15;643;1
15;657;1
15;673;1
15;690;2121
15;700;2212
15;720;2222
15;722;1122
15;724;1
15;725;1010
15;729;1
15;731;1
15;735;1
15;747;1010
15;752;2212
15;763;1102
15;764;1001
15;767;1
15;792;10
15;794;1000
15;816;1
15;822;2
15;833;1
15;837;1
15;844;2
15;853;1000
15;854;1101
15;857;1000
15;863;1001
15;870;2222
15;875;1
15;888;1
15;889;1
15;900;1001
15;944;1002
15;990;2
15;993;1000
15;994;1221
15;1000;1002
15;1013;1001
15;1016;1001
15;1027;10
15;1033;1
15;1040;2
15;1093;1
15;1098;2
15;1115;2
15;1162;12
15;1184;2222
15;1187;1
15;1192;2222
15;1195;1
15;1226;2
15;1232;1
15;1234;1
15;1235;2220
16;5;1
16;10;1
16;17;1
16;36;10
16;41;110
16;46;1111
16;69;2
16;72;1
16;89;2222
16;92;10
16;95;2222
16;97;1000
16;98;1000
16;126;1
16;129;2120
16;130;1
16;132;1
16;134;1000
16;135;12
16;148;1
16;150;1000
16;168;1
16;181;1011
16;182;2222
16;186;2122
16;189;1
16;197;1000
16;202;1000
16;205;1
16;212;1
16;225;1
16;226;2
16;238;11
16;240;2210
16;255;1
16;288;1
16;290;1
16;292;1
16;297;1
16;298;1001
16;301;2222
16;314;2120
16;320;1
16;322;1122
16;330;1
16;331;1
16;333;1001
16;350;11
16;357;1
16;359;12
16;364;2112
16;370;2112
16;376;2220
16;386;1
16;396;2222
16;398;1010
16;413;1
16;421;1000
16;424;1012
16;428;1002
16;434;10
16;443;2222
16;462;10
16;466;1222
16;468;2121
16;472;10
16;473;1
16;475;2122
16;478;11
16;489;1
16;490;1
16;510;1
16;512;10
16;518;1011
16;522;2110
16;550;12
16;553;1
16;559;1
16;581;1
16;582;1010
16;586;1
16;594;2220
16;615;1
16;616;1
16;641;1012
16;642;1102
16;643;11
16;649;2122
16;656;1
16;657;1001
16;658;1001
16;659;2122
16;660;1001
16;662;1001
16;673;1
16;676;2
16;708;1000
16;709;1000
16;711;1
16;715;1
16;719;1001
16;722;1122
16;723;1
16;724;1
16;725;1
16;727;1222
16;729;1
16;730;1
16;731;2
16;735;1
16;755;1011
16;756;1111
16;758;1
16;762;10
16;763;1102
16;764;2
16;767;1
16;770;1100
16;772;2122
16;783;1000
16;791;1001
16;797;1
16;799;2222
16;809;1000
16;810;1
16;816;11
16;822;2
16;834;2222
16;835;1
16;837;1
16;844;2
16;867;10
16;870;1
16;872;2210
16;875;1
16;882;2
16;888;2
16;889;2
16;893;1
16;896;1000
16;901;2210
16;902;1010
16;919;1
16;928;1000
16;932;1
16;935;1111
16;937;1001
16;938;1
16;941;1
16;943;11
16;944;1001
16;970;10
16;974;10
16;984;1010
16;990;1
16;991;1000
16;993;1122
16;994;10
16;1000;1002
16;1002;1010
16;1016;1011
16;1017;2211
16;1023;2
16;1033;1
16;1037;1
16;1051;1000
16;1066;1
16;1076;1
16;1080;2
16;1098;2
16;1101;2
16;1115;2
16;1135;1
16;1154;1012
16;1158;1
16;1189;1
16;1192;1111
16;1226;1220
16;1232;1
16;1234;1001
17;49;2122
17;89;2120
17;101;10
17;128;1
17;132;1
17;135;1
17;153;2
17;189;1
17;233;10
17;238;1
17;297;1
17;298;1
17;301;2
17;330;1
17;333;1
17;357;1111
17;359;1102
17;370;111
17;428;1002
17;443;1100
17;450;10
17;506;10
17;643;11
17;660;10
17;662;2120
17;688;2221
17;722;1
17;729;1
17;730;11
17;731;2
17;735;2
17;791;1122
17;810;2112
17;816;12
17;837;1
17;839;1
17;845;1
17;882;2
17;889;2
17;897;1000
17;937;1
17;938;1
17;941;1001
17;944;1001
17;1000;1
17;1023;1
17;1040;1
17;1069;1
17;1080;1
17;1088;2
17;1101;2221
17;1103;1120
17;1115;1
17;1187;1
17;1234;1
18;129;2122
18;153;1
18;205;2120
18;226;2
18;364;100
18;370;1010
18;414;2
18;424;1110
18;443;10
18;642;1000
18;656;1001
18;657;1010
18;658;1010
18;660;1010
18;725;1110
18;816;1000
18;935;1010
18;993;1110
18;994;1000
18;1016;2110
18;1162;1100
19;21;2220
19;49;1
19;359;1011
19;370;1100
19;398;1
19;432;2121
19;455;10
19;487;2222
19;506;2222
19;618;2222
19;626;2222
19;672;2212
19;688;2222
19;693;2222
19;897;2222
19;936;10
19;944;1
19;1000;1
19;1049;2221
19;1103;2222
19;1129;1
19;1205;1
20;126;2112
20;133;2
20;153;2
20;181;10
20;207;2122
20;208;2122
20;220;2221
20;278;2111
20;283;1100
20;286;2111
20;287;2111
20;288;1100
20;290;2111
20;292;2111
20;370;110
20;443;10
20;538;2122
20;539;2111
20;540;2222
20;544;2111
20;604;100
20;643;1
20;711;1210
20;715;1011
20;731;1
20;758;2222
20;767;100
20;791;1
20;823;2222
20;824;1001
20;882;2
20;919;1000
20;924;2222
20;928;1000
20;944;1
20;962;2222
20;970;1001
20;1066;2222
20;1080;10
20;1115;2222
20;1168;2222
20;1189;1
20;1213;2222
20;1215;2222
20;1234;1001
20;1239;1120
21;68;2112
21;97;2
21;98;12
21;181;1
21;251;2112
21;413;1
21;416;1
21;434;1
21;443;2
21;551;100
21;615;1
21;676;1
21;708;2122
21;709;2222
21;719;1100
21;722;1
21;751;1
21;756;10
21;757;100
21;932;1
21;941;1101
21;1098;2
21;1115;1122
21;1158;2221
21;1189;1
22;13;2222
22;39;12
22;67;1
22;69;1
22;104;1
22;130;2222
22;189;1
22;197;1
22;221;1
22;226;1
22;237;101
22;247;10
22;258;2221
22;262;2112
22;276;2222
22;322;1
22;325;1
22;333;1
22;342;110
22;343;101
22;350;100
22;365;1
22;370;1012
22;392;1
22;431;1121
22;464;1
22;465;1
22;473;1121
22;478;1121
22;503;1101
22;510;101
22;512;110
22;514;1001
22;586;1
22;590;11
22;654;101
22;671;1101
22;682;1
22;692;2222
22;704;2111
22;713;1
22;729;1
22;731;2
22;735;1
22;764;1212
22;774;101
22;788;1011
22;843;102
22;845;2
22;871;1001
22;880;1012
22;881;102
22;882;2
22;888;2
22;898;2212
22;908;1111
22;942;1
22;946;1
22;968;100
22;1000;2
22;1033;1
22;1040;1
22;1083;1122
22;1093;1
22;1114;1002
22;1144;100
22;1156;1111
22;1166;110
22;1194;1121
22;1195;1
23;9;2221
23;10;2122
23;11;1100
23;12;2212
23;34;2222
23;42;2222
23;99;1112
23;162;1000
23;163;1
23;167;1000
23;198;1000
23;248;1000
23;285;10
23;322;101
23;350;1001
23;370;1002
23;426;2122
23;434;1212
23;464;1000
23;509;2222
23;541;2222
23;582;2
23;583;1000
23;598;2
23;716;1002
23;780;1000
23;859;2120
23;883;1
23;888;1002
23;979;2222
23;984;2
23;1096;11
23;1114;2222
23;1156;10
23;1163;1000
24;32;1100
24;72;1
24;199;1
24;207;1
24;210;2220
24;240;1
24;254;2111
24;331;1
24;370;1000
24;377;1
24;411;1
24;477;1
24;492;1
24;522;1
24;552;2
24;559;10
24;611;1001
24;647;2222
24;677;1
24;724;2
24;763;1
24;858;1
24;913;2222
24;915;2211
24;926;2121
24;934;1
24;1000;1
24;1031;1011
24;1109;2222
24;1195;1121
24;1232;1
25;72;2112
25;74;2110
25;83;111
25;84;11
25;106;1012
25;112;1
25;120;102
25;141;1
25;162;1001
25;172;1
25;198;1012
25;221;1
25;276;1
25;370;1010
25;390;10
25;392;1
25;411;2111
25;415;1000
25;425;1
25;431;2222
25;432;2
25;464;10
25;465;1102
25;503;1121
25;505;1
25;530;1
25;550;1
25;559;1
25;566;1000
25;568;1000
25;569;1011
25;622;1
25;647;2122
25;855;1
25;858;2111
25;875;1
25;880;2
25;881;1002
25;891;1
25;913;2222
25;915;1
25;926;2121
25;949;1
25;977;1000
25;1027;1
25;1031;1000
25;1083;1
25;1156;110
25;1194;1121
25;1195;1112
25;1210;1
26;74;110
26;104;2212
26;199;2222
26;221;1
26;281;2222
26;285;2112
26;328;2111
26;333;1
26;342;2110
26;343;1100
26;370;10
26;392;1
26;431;2222
26;434;1
26;442;2
26;465;1
26;485;10
26;488;10
26;490;1
26;610;2122
26;617;2222
26;665;1112
26;713;10
26;774;101
26;807;1122
26;855;10
26;881;102
26;942;1101
26;1061;2222
26;1144;2222
26;1166;2211
26;1194;1121
26;1195;1
27;98;1102
27;179;1
27;599;2222
27;756;2
27;858;1
27;905;2122
27;912;1
27;913;1001
27;1000;100
27;1083;100
27;1096;2
28;134;1
28;135;102
28;136;1
28;215;1112
28;274;1000
28;300;2
28;322;2
28;331;1
28;333;1
28;343;1
28;351;2112
28;352;2112
28;370;1112
28;392;1
28;398;1
28;465;1
28;467;1
28;477;2121
28;510;1
28;550;1
28;559;1
28;586;1
28;611;1
28;665;1
28;722;1012
28;724;102
28;729;1
28;735;1
28;759;2111
28;763;102
28;822;1212
28;832;1
28;837;1
28;875;1
28;882;2
28;913;1
28;937;1
28;942;101
28;944;1
28;969;1
28;990;2
28;1000;1102
28;1033;102
28;1040;102
28;1083;1112
28;1093;102
28;1187;1
28;1192;102
28;1222;1
28;1226;1
28;1234;102
29;15;1012
29;100;1
29;215;2122
29;274;2222
29;300;2212
29;322;2222
29;333;101
29;343;1
29;350;110
29;351;2122
29;352;2122
29;353;2220
29;370;1112
29;385;1
29;392;1
29;434;1
29;442;1
29;477;1120
29;510;1
29;553;1
29;687;10
29;714;1002
29;722;1012
29;724;102
29;729;1
29;759;2212
29;763;1102
29;764;1000
29;788;1000
29;822;102
29;832;1222
29;837;1
29;875;1
29;937;1
29;942;101
29;944;1102
29;1000;1
29;1033;100
29;1040;101
29;1083;2
29;1093;100
29;1184;100
29;1192;1122
29;1234;102
30;117;2
30;328;101
30;332;1
30;433;2122
30;492;1
30;557;2
30;586;2112
30;687;10
30;775;1
30;880;2112
30;881;1
30;911;2212
30;942;1010
30;1001;11
30;1084;100
30;1224;1212
30;1234;1
31;43;2222
31;69;1
31;127;1112
31;128;1000
31;136;1101
31;145;2
31;168;101
31;189;1112
31;213;1
31;226;1122
31;239;2222
31;272;100
31;330;1111
31;331;1001
31;332;2222
31;359;100
31;370;1111
31;389;1000
31;433;2222
31;448;2122
31;467;2222
31;512;100
31;550;1
31;551;101
31;557;2222
31;586;2222
31;620;1001
31;628;111
31;651;2221
31;701;1100
31;722;1001
31;724;1000
31;729;101
31;735;100
31;760;2222
31;762;1000
31;764;1000
31;839;1212
31;845;2222
31;882;1112
31;937;101
31;938;1212
31;940;101
31;942;1012
31;944;1
31;999;2222
31;1000;101
31;1020;2122
31;1022;1222
31;1036;2112
31;1040;1102
31;1084;2222
31;1093;2
31;1187;101
31;1224;1120
31;1232;1
31;1233;2222
31;1234;102
32;43;1000
32;127;1
32;128;1000
32;181;1
32;184;2222
32;189;2
32;212;11
32;226;1
32;239;11
32;315;1000
32;330;1
32;331;1
32;370;1000
32;389;1112
32;433;1121
32;467;1000
32;473;1
32;489;1000
32;506;10
32;586;1011
32;722;1122
32;735;1
32;764;1
32;882;1
32;937;1
32;999;1000
32;1040;101
32;1093;1
32;1220;1
32;1234;1100
33;37;101
33;65;1
33;91;2222
33;94;2220
33;96;1
33;210;2220
33;225;12
33;297;1
33;359;1011
33;370;1212
33;403;2212
33;404;2
33;413;2
33;465;2222
33;515;1
33;612;2222
33;637;2220
33;638;2220
33;663;1
33;719;1
33;721;2222
33;731;1
33;763;1001
33;764;2
33;773;1
33;793;10
33;795;1000
33;797;2210
33;811;2222
33;818;2220
33;822;1
33;825;2222
33;846;1
33;882;1
33;888;1002
33;889;2
33;916;2222
33;920;2212
33;927;2121
33;978;2110
33;981;1000
33;995;1121
33;996;2222
33;1000;100
33;1023;1
33;1052;2222
33;1072;1
33;1098;1
33;1105;2222
33;1113;2222
33;1122;1112
33;1123;112
33;1183;1122
33;1186;1222
33;1189;11
33;1215;10
33;1234;1222
34;37;2222
34;65;2212
34;76;11
34;77;100
34;94;2
34;135;1
34;225;2
34;235;10
34;236;10
34;247;10
34;261;2122
34;277;10
34;297;1
34;359;10
34;403;2221
34;404;2222
34;465;2222
34;471;2221
34;552;1
34;627;1
34;637;2222
34;638;2222
34;721;2222
34;773;2211
34;795;2222
34;817;2222
34;818;1
34;825;100
34;846;2222
34;916;2221
34;933;1
34;941;100
34;944;1
34;995;2222
34;1000;100
34;1023;1
34;1052;101
34;1186;1
34;1234;1
35;32;1000
35;120;100
35;210;2222
35;811;1120
35;825;100
35;888;1
35;913;2110
35;915;2120
35;920;100
35;926;10
35;948;10
35;1105;1
35;1109;2222
35;1119;1
36;66;1000
36;325;1
36;370;2
36;403;1100
36;612;2120
36;721;1000
36;722;2220
36;724;1
36;1052;2220
37;3;2112
37;4;1000
37;28;2120
37;33;2222
37;35;2122
37;38;2222
37;65;1001
37;71;1111
37;76;1002
37;116;1
37;119;1
37;120;1222
37;131;2222
37;148;1
37;150;1
37;158;2222
37;175;2222
37;203;2122
37;220;1
37;225;2222
37;231;12
37;233;10
37;234;2222
37;238;11
37;247;2112
37;280;1212
37;291;1
37;294;1000
37;318;2222
37;319;2111
37;333;1012
37;334;1001
37;342;1
37;345;1
37;370;12
37;378;2122
37;379;2222
37;380;2222
37;392;1
37;403;1
37;428;1001
37;433;1000
37;443;1
37;465;2222
37;470;2121
37;476;1122
37;482;2222
37;483;2222
37;491;2222
37;492;2222
37;510;1
37;512;1
37;514;1
37;596;1
37;600;2222
37;627;1112
37;671;1
37;697;2222
37;711;10
37;712;2122
37;717;2222
37;721;1000
37;731;2
37;774;1011
37;776;1
37;815;2222
37;817;2122
37;818;1
37;831;2221
37;835;2122
37;849;2222
37;866;1012
37;871;12
37;877;2222
37;888;1
37;930;2122
37;933;1111
37;941;1000
37;942;1211
37;944;100
37;946;2222
37;991;2212
37;1008;2222
37;1011;1011
37;1014;2222
37;1028;2222
37;1080;1
37;1126;2222
37;1128;1222
37;1130;1
37;1131;1122
37;1133;2222
37;1135;111
37;1174;1222
37;1176;2222
37;1178;2122
37;1182;1222
37;1234;1212
38;14;2122
38;76;1
38;117;1010
38;142;1
38;252;100
38;360;2212
38;370;1
38;390;2222
38;392;1
38;444;1
38;465;1212
38;503;1
38;505;10
38;510;1
38;572;10
38;573;10
38;621;1
38;622;2
38;627;1
38;634;2112
38;644;1121
38;646;1001
38;666;1010
38;702;2
38;729;1
38;776;1
38;786;1000
38;856;1
38;862;1
38;866;100
38;873;1002
38;881;1000
38;882;2
38;888;1
38;971;1122
38;990;2
38;1001;1000
38;1024;1001
38;1027;1000
38;1029;1000
38;1059;1000
38;1066;1
38;1068;1222
38;1072;1
38;1075;1000
38;1130;1222
38;1136;1222
38;1140;1122
38;1146;11
38;1148;11
38;1160;11
38;1230;1000
38;1234;1210
39;3;1000
39;67;1
39;74;1
39;76;1
39;83;2121
39;84;1
39;85;2122
39;102;1000
39;107;1
39;108;2
39;112;11
39;135;1
39;143;1000
39;216;2122
39;217;2122
39;218;2122
39;219;2122
39;221;2122
39;222;2121
39;225;2222
39;226;1
39;230;1002
39;233;10
39;235;2122
39;236;2122
39;244;10
39;248;10
39;249;2112
39;252;1011
39;254;1010
39;263;1011
39;276;1
39;277;2122
39;289;2112
39;293;2112
39;297;1
39;301;1
39;304;1122
39;306;1
39;307;1001
39;308;2
39;338;2122
39;342;2
39;343;2
39;356;1101
39;360;10
39;365;1
39;366;1000
39;370;1
39;392;1
39;404;2
39;407;2122
39;412;2110
39;420;2112
39;433;1002
39;453;1000
39;465;2
39;470;2121
39;488;11
39;490;1
39;494;2
39;503;1
39;505;12
39;508;101
39;510;1001
39;529;12
39;530;1
39;532;1
39;534;11
39;535;1
39;553;1012
39;560;2122
39;563;2
39;564;1001
39;565;1
39;566;1
39;567;1001
39;568;1
39;569;1
39;570;11
39;571;11
39;572;1
39;573;1011
39;576;1000
39;584;1122
39;586;1
39;608;11
39;610;1
39;619;2121
39;621;1
39;622;2
39;627;1
39;639;2221
39;645;2111
39;646;1001
39;647;10
39;652;1
39;654;2121
39;702;2
39;716;111
39;729;1
39;738;2
39;739;2
39;740;2
39;744;1
39;746;2
39;749;1
39;776;1
39;777;11
39;786;11
39;845;1
39;849;1
39;851;2121
39;862;1
39;869;1002
39;873;1122
39;881;1001
39;882;2
39;888;1
39;889;1
39;892;1
39;902;1
39;918;2
39;942;1
39;944;1
39;949;1002
39;966;12
39;971;2122
39;990;2
39;1001;1001
39;1026;1
39;1027;1001
39;1029;1001
39;1044;1
39;1066;1
39;1070;1
39;1072;1
39;1076;1
39;1096;100
39;1127;1011
39;1135;1
39;1136;1000
39;1137;1221
39;1139;1222
39;1140;10
39;1141;1122
39;1146;11
39;1148;11
39;1160;10
39;1161;1
39;1185;1
39;1194;1
39;1209;1
39;1210;1
39;1211;1002
39;1222;1
39;1224;1
39;1225;1112
39;1230;1002
39;1234;1211
39;1236;1
39;1238;2
40;2;100
40;3;2122
40;4;2122
40;5;100
40;9;1
40;10;1
40;17;1
40;28;2212
40;32;1
40;35;100
40;76;1
40;77;1122
40;95;2110
40;103;10
40;105;10
40;108;10
40;109;1010
40;112;10
40;115;10
40;116;1122
40;119;1001
40;120;1
40;132;1
40;142;1
40;144;1
40;150;102
40;151;2
40;169;1000
40;173;1
40;189;1
40;198;10
40;210;1
40;225;2122
40;231;2122
40;233;2222
40;235;10
40;236;10
40;240;2110
40;248;1000
40;249;10
40;252;1002
40;254;1122
40;261;10
40;263;1
40;277;1122
40;279;10
40;289;10
40;291;1
40;293;11
40;294;1011
40;297;1
40;298;1
40;304;10
40;308;10
40;333;1
40;338;1
40;344;11
40;345;1
40;351;1000
40;352;1000
40;370;1001
40;392;1
40;404;2122
40;405;2122
40;407;10
40;413;1
40;417;102
40;420;12
40;434;1
40;465;2222
40;478;1
40;479;2111
40;508;2
40;510;10
40;515;1
40;526;10
40;529;10
40;532;10
40;535;1
40;553;10
40;560;1010
40;571;10
40;572;10
40;573;1010
40;576;1000
40;583;1
40;613;1
40;616;1
40;619;10
40;645;10
40;646;10
40;654;10
40;673;1
40;677;1
40;731;1
40;735;1
40;763;1
40;780;10
40;785;2122
40;786;2122
40;815;1221
40;849;100
40;851;1
40;852;1
40;869;1000
40;882;1
40;888;100
40;899;1210
40;931;10
40;941;1111
40;942;1
40;949;1000
40;954;101
40;956;100
40;959;100
40;1000;1
40;1008;1222
40;1024;1000
40;1027;1
40;1029;1
40;1052;11
40;1080;101
40;1100;1212
40;1105;2
40;1109;10
40;1117;1212
40;1124;2210
40;1126;10
40;1127;12
40;1128;10
40;1130;1
40;1131;2
40;1132;1
40;1133;11
40;1135;1122
40;1137;1121
40;1139;1220
40;1141;1120
40;1146;10
40;1148;10
40;1160;11
40;1161;10
40;1192;1
40;1193;1121
40;1230;1120
40;1234;2222
41;46;100
41;296;100
41;301;100
41;322;10
41;370;100
41;392;1000
41;603;2221
41;941;1
41;998;1010
41;1106;2222
41;1107;2222
41;1108;2222
41;1115;1122
41;1184;10
41;1190;2222
42;5;1
42;46;100
42;57;2222
42;92;2212
42;135;1
42;209;2222
42;245;1011
42;297;1
42;301;1112
42;314;100
42;317;2222
42;322;1
42;337;1212
42;339;100
42;370;11
42;416;2212
42;434;1
42;443;2220
42;489;1
42;505;2221
42;509;1000
42;550;1
42;585;2222
42;586;1
42;601;1
42;695;2222
42;719;1
42;722;2
42;724;1
42;731;1
42;763;1
42;764;1
42;770;1
42;822;1
42;837;1
42;888;1
42;931;1011
42;944;1
42;1000;1
42;1033;1
42;1040;1
42;1085;1011
42;1093;1
42;1187;1
42;1192;1
42;1232;1
42;1234;1001
43;3;100
43;4;100
43;28;100
43;54;1121
43;65;100
43;66;2221
43;91;100
43;94;100
43;119;12
43;124;1212
43;125;2222
43;135;1
43;137;2
43;140;2222
43;147;10
43;172;2222
43;173;1220
43;199;1
43;221;1
43;261;1100
43;294;100
43;301;1
43;302;1100
43;303;2120
43;307;1
43;308;100
43;311;100
43;324;100
43;334;100
43;361;100
43;370;1112
43;386;1000
43;392;11
43;404;100
43;418;2212
43;430;1
43;440;2222
43;441;2222
43;461;1210
43;471;1
43;484;110
43;490;1
43;493;1
43;504;2222
43;505;1
43;522;101
43;526;1100
43;527;100
43;560;100
43;562;100
43;563;1
43;568;2222
43;570;1
43;571;1
43;575;1
43;636;1000
43;655;10
43;693;1
43;694;100
43;707;1
43;714;1100
43;733;1
43;737;1
43;741;1
43;758;1
43;793;100
43;795;100
43;817;100
43;818;100
43;864;1
43;889;1
43;891;11
43;913;100
43;916;100
43;918;1011
43;921;1102
43;944;1
43;958;1002
43;960;2222
43;966;1001
43;967;1001
43;975;2
43;982;1
43;997;10
43;1000;2
43;1080;1
43;1093;1
43;1094;1
43;1121;1
43;1156;1
43;1167;11
43;1172;11
43;1184;10
43;1185;1
43;1199;1002
43;1200;2211
43;1209;1
43;1216;10
44;44;2222
44;45;1000
44;53;2222
44;67;1211
44;72;2112
44;74;2222
44;83;1001
44;84;1112
44;106;1001
44;108;1000
44;118;1000
44;121;1000
44;122;11
44;124;2222
44;125;100
44;135;1
44;138;2
44;142;10
44;143;2212
44;154;2212
44;166;1000
44;171;2212
44;172;1000
44;190;2222
44;235;2210
44;236;2211
44;242;2210
44;243;2210
44;244;2220
44;257;1001
44;264;2110
44;269;2212
44;276;1
44;297;1
44;310;100
44;312;2222
44;325;1111
44;336;2111
44;360;1001
44;370;1000
44;371;1
44;381;1
44;386;2212
44;390;2212
44;392;1
44;399;1211
